offer_idx,b,r_x,r_y,env_id,mu_true_mean,mu_true_noise,regret_t,EV,Q_star,o_star,regret_exp,ece,mismatch,policy_error,regret_bound_t,temperature,model,L_eff,C,rho,slack,covered,t,trial,cum_regret,cum_regret_bound,history_length,intervention_mode,intervention_applied
1,1,1,1,general,"[0.5, 0.5]","[0.5754519731100167, 0.42454802688998333]",0.75,2.25,3.0,1,0.75,0.33333333333333337,0.34113089511908484,0.1050005850202648,3.4211335911729392,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,4.561511454897253,2.6711335911729392,True,1,0,0.75,3.4211335911729392,5,none,False
0,0,3,3,general,"[0.5, 0.5]","[0.7258917777154578, 0.27410822228454224]",0.75,2.25,3.0,1,0.75,0.25,0.35640103125154,0.1050005850202648,3.199865224216167,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,4.266486965621556,2.449865224216167,True,2,0,1.5,6.620998815389106,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.3628198208517387, 0.6371801791482613]",0.8999999999999999,2.1,3.0,1,0.8999999999999999,0.16666666666666666,0.515363247627377,0.1050005850202648,3.697057258476304,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,4.107841398307005,2.797057258476304,True,3,0,2.4,10.31805607386541,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.474818132821633, 0.525181867178367]",0.75,2.25,3.0,1,0.75,0.16666666666666666,0.3704295306002941,0.1050005850202648,2.97238867334089,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.9631848977878534,2.22238867334089,True,4,0,3.15,13.290444747206301,5,none,False
0,0,3,3,general,"[0.5, 0.5]","[0.7250669927658224, 0.27493300723417763]",0.8999999999999999,2.1,3.0,1,0.8999999999999999,0.09999999999999998,0.5076869712477019,0.1050005850202648,3.420580638482691,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.800645153869657,2.520580638482691,True,5,0,4.05,16.71102538568899,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.6356353229130899, 0.3643646770869101]",0.75,2.25,3.0,1,0.75,0.09999999999999998,0.4076869712477019,0.1050005850202648,2.9205806384826904,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.8941075179769205,2.1705806384826904,True,6,0,4.8,19.63160602417168,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.7044086818433666, 0.2955913181566335]",0.8999999999999999,2.1,3.0,1,0.8999999999999999,0.07142857142857142,0.48501636541289334,0.1050005850202648,3.205186792982117,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.5613186588690193,2.3051867929821173,True,7,0,5.699999999999999,22.8367928171538,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.7684221490484271, 0.23157785095157293]",0.75,2.25,3.0,1,0.75,0.09999999999999998,0.4076869712477019,0.1050005850202648,2.9205806384826904,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.8941075179769205,2.1705806384826904,True,8,0,6.449999999999999,25.75737345563649,5,none,False
0,0,3,3,general,"[0.5, 0.5]","[0.6259097875447862, 0.3740902124552138]",0.75,2.25,3.0,1,0.75,0.09999999999999998,0.38079707797788237,0.1050005850202648,2.786131172133593,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.7148415628447906,2.036131172133593,True,9,0,7.199999999999999,28.543504627770083,5,none,False
0,1,0,5,general,"[0.5, 0.5]","[0.5008989002859634, 0.49910109971403666]",0.875,2.125,3.0,1,0.875,0.0,0.47833274831306855,0.1050005850202648,2.916666666666667,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.3333333333333335,2.041666666666667,True,10,0,8.075,31.46017129443675,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.3373358801411138, 0.6626641198588862]",0.75,2.25,3.0,1,0.75,0.0,0.39499941497973523,0.1050005850202648,2.5,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.3333333333333335,1.75,True,1,1,0.75,2.5,5,none,False
0,1,0,5,general,"[0.5, 0.5]","[0.37372900439184864, 0.6262709956081514]",1.1999999999999997,1.8000000000000003,3.0,1,1.1999999999999997,0.09999999999999998,0.707686971247702,0.1050005850202648,4.420580638482691,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.683817198735577,3.220580638482691,True,2,1,1.9499999999999997,6.920580638482691,5,none,False
0,1,0,5,general,"[0.5, 0.5]","[0.2462608554963892, 0.7537391445036108]",0.8999999999999999,2.1,3.0,1,0.8999999999999999,0.0,0.4949994149797352,0.1050005850202648,3.0,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.3333333333333335,2.1,True,3,1,2.8499999999999996,9.92058063848269,5,none,False
