offer_idx,b,r_x,r_y,env_id,mu_true_mean,mu_true_noise,regret_t,EV,Q_star,o_star,regret_exp,ece,mismatch,policy_error,regret_bound_t,temperature,model,L_eff,C,rho,slack,covered,t,trial,cum_regret,cum_regret_bound,history_length,intervention_mode,intervention_applied
1,1,1,1,general,"[0.5, 0.5]","[0.5754519731100167, 0.42454802688998333]",0.75,2.25,3.0,1,0.75,0.33333333333333337,0.34113089511908484,0.1050005850202648,3.4211335911729392,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,4.561511454897253,2.6711335911729392,True,1,0,0.75,3.4211335911729392,5,non_target,False
0,0,3,3,general,"[0.5, 0.5]","[0.7258917777154578, 0.27410822228454224]",0.8999999999999999,2.1,3.0,1,0.8999999999999999,0.16666666666666666,0.4704295306002941,0.1050005850202648,3.4723886733408893,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.858209637045433,2.5723886733408894,True,2,0,1.65,6.8935222645138285,5,non_target,True
1,1,1,1,general,"[0.5, 0.5]","[0.3628198208517387, 0.6371801791482613]",0.75,2.25,3.0,1,0.75,0.0,0.39499941497973523,0.1050005850202648,2.5,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.3333333333333335,1.75,True,3,0,2.4,9.393522264513829,5,non_target,True
1,0,5,0,general,"[0.5, 0.5]","[0.474818132821633, 0.525181867178367]",1.0,2.0,3.0,1,1.0,0.0,0.5616660816464019,0.1050005850202648,3.333333333333333,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.333333333333333,2.333333333333333,True,4,0,3.4,12.726855597847162,5,non_target,True
0,0,3,3,general,"[0.5, 0.5]","[0.7250669927658224, 0.27493300723417763]",0.75,2.25,3.0,1,0.75,0.07142857142857142,0.4042095340383489,0.1050005850202648,2.8011526361093955,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.734870181479194,2.0511526361093955,True,5,0,4.15,15.528008233956559,5,non_target,True
1,0,5,0,general,"[0.5, 0.5]","[0.6356353229130899, 0.3643646770869101]",0.75,2.25,3.0,1,0.75,0.09999999999999998,0.4076869712477019,0.1050005850202648,2.9205806384826904,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.8941075179769205,2.1705806384826904,True,6,0,4.9,18.44858887243925,5,non_target,True
1,1,1,1,general,"[0.5, 0.5]","[0.7044086818433666, 0.2955913181566335]",0.6000000000000001,2.4,3.0,1,0.6000000000000001,0.16666666666666666,0.315363247627377,0.1050005850202648,2.6970572584763044,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,4.49509543079384,2.0970572584763043,True,7,0,5.5,21.14564613091555,5,non_target,True
1,0,5,0,general,"[0.5, 0.5]","[0.7684221490484271, 0.23157785095157293]",0.75,2.25,3.0,1,0.75,0.09999999999999998,0.4076869712477019,0.1050005850202648,2.9205806384826904,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.8941075179769205,2.1705806384826904,True,8,0,6.25,24.06622676939824,5,non_target,True
0,0,3,3,general,"[0.5, 0.5]","[0.6259097875447862, 0.3740902124552138]",0.8999999999999999,2.1,3.0,1,0.8999999999999999,0.07142857142857142,0.504209534038349,0.1050005850202648,3.3011526361093955,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,3.667947373454884,2.4011526361093956,True,9,0,7.15,27.367379405507638,5,non_target,True
1,1,1,1,general,"[0.5, 0.5]","[0.5008989002859634, 0.49910109971403666]",0.6000000000000001,2.4,3.0,1,0.6000000000000001,0.09999999999999998,0.30768697124770195,0.1050005850202648,2.420580638482691,0.8,meta-llama/Llama-3.1-8B-Instruct,5,0.7142857142857143,4.034301064137818,1.8205806384826908,True,10,0,7.75,29.787960043990328,5,non_target,True
